PositionTimestamp	PositionDifference	VideoTimestamp	VideoDifference
95469.855000	0.690340	NaN	NaN
95469.895000	0.644593	NaN	NaN
95469.935000	0.773593	NaN	NaN
95469.975000	0.615693	NaN	NaN
95470.015000	0.473793	NaN	NaN
95470.055000	0.676493	NaN	NaN
95470.095000	0.552593	NaN	NaN
95470.135000	0.617593	NaN	NaN
95470.170000	0.635593	NaN	NaN
95470.209000	0.511393	NaN	NaN
95470.249000	0.545493	NaN	NaN
95470.319000	0.615993	NaN	NaN
95470.359000	0.415493	NaN	NaN
95470.400000	0.736493	NaN	NaN
95470.440000	0.588393	NaN	NaN
95470.480000	0.532493	NaN	NaN
95470.520000	0.527193	NaN	NaN
95470.560000	0.551493	NaN	NaN
95470.595000	0.504293	NaN	NaN
95470.635000	0.540293	NaN	NaN
95470.675000	0.390693	NaN	NaN
95470.715000	0.399793	NaN	NaN
95470.755000	0.520693	NaN	NaN
95470.795000	0.376193	NaN	NaN
95470.835000	0.213960	NaN	NaN
95470.870000	0.384793	NaN	NaN
95470.909000	0.175493	NaN	NaN
95470.949000	0.280160	NaN	NaN
95470.989000	0.185140	NaN	NaN
95471.029000	0.226907	NaN	NaN
95471.069000	0.368107	NaN	NaN
95471.109000	0.193393	NaN	NaN
95471.154000	0.253593	NaN	NaN
95471.194000	0.211460	NaN	NaN
95471.234000	0.251960	NaN	NaN
95471.275000	0.376693	NaN	NaN
95471.315000	0.193860	NaN	NaN
95471.355000	0.101007	NaN	NaN
95471.395000	0.214507	NaN	NaN
95471.435000	0.253007	NaN	NaN
95471.475000	0.275307	NaN	NaN
95471.515000	0.251807	NaN	NaN
95471.550000	0.174307	NaN	NaN
95471.590000	0.325407	NaN	NaN
95471.630000	0.190960	NaN	NaN
95471.670000	0.216107	NaN	NaN
95471.710000	0.152860	NaN	NaN
95471.750000	0.349893	NaN	NaN
95471.790000	0.551993	NaN	NaN
95471.829000	0.565593	NaN	NaN
95471.870000	1.062793	NaN	NaN
95471.910000	1.191793	NaN	NaN
95471.949000	1.248693	NaN	NaN
95471.989000	1.431993	NaN	NaN
95472.029000	2.463593	NaN	NaN
95472.069000	9.936793	NaN	NaN
95472.109000	26.017893	NaN	NaN
95472.859000	0.326653	NaN	NaN
95472.900000	0.390753	NaN	NaN
95472.941000	0.415120	NaN	NaN
95472.975000	0.451420	NaN	NaN
95473.015000	0.536220	NaN	NaN
95473.055000	0.765120	NaN	NaN
95473.095000	0.732520	NaN	NaN
95473.135000	0.756120	NaN	NaN
95473.170000	0.793220	NaN	NaN
95473.210000	0.843720	NaN	NaN
95473.250000	0.884920	NaN	NaN
95473.290000	0.916620	NaN	NaN
95473.330000	0.908720	NaN	NaN
95473.370000	1.001820	NaN	NaN
95473.410000	0.996220	NaN	NaN
95473.450000	1.019920	NaN	NaN
95473.489000	1.045920	NaN	NaN
95473.530000	1.075520	NaN	NaN
95473.569000	1.153220	NaN	NaN
95473.609000	1.132720	NaN	NaN
95473.650000	1.068420	NaN	NaN
95473.690000	1.048320	NaN	NaN
95473.725000	1.113920	NaN	NaN
95473.765000	1.190020	NaN	NaN
95473.805000	1.185020	NaN	NaN
95473.845000	1.151420	NaN	NaN
95473.885000	1.135620	NaN	NaN
95473.920000	1.073620	NaN	NaN
95473.960000	1.042920	NaN	NaN
95474.000000	1.061320	NaN	NaN
95474.040000	1.148420	NaN	NaN
95474.080000	1.187320	NaN	NaN
95474.120000	1.152420	NaN	NaN
95474.159000	1.131020	NaN	NaN
95474.199000	1.185620	NaN	NaN
95474.240000	1.148320	NaN	NaN
95474.279000	1.227620	NaN	NaN
95474.319000	1.158620	NaN	NaN
95474.359000	1.099420	NaN	NaN
95474.400000	1.103420	NaN	NaN
95474.440000	1.114820	NaN	NaN
95474.475000	1.154420	NaN	NaN
95474.515000	1.216920	NaN	NaN
95474.555000	1.275020	NaN	NaN
95474.595000	1.236820	NaN	NaN
95474.635000	1.238920	NaN	NaN
95474.670000	1.257520	NaN	NaN
95474.710000	1.207820	NaN	NaN
95474.750000	1.203120	NaN	NaN
95474.790000	1.118520	NaN	NaN
95474.830000	1.045020	NaN	NaN
95474.870000	1.092520	NaN	NaN
95474.910000	1.086920	NaN	NaN
95474.950000	1.006220	NaN	NaN
95474.990000	1.287247	NaN	NaN
95475.029000	6.343447	NaN	NaN
95475.069000	18.286847	NaN	NaN
95475.819000	1.296840	NaN	NaN
95475.859000	1.352540	NaN	NaN
95475.900000	1.499540	NaN	NaN
95475.940000	1.360440	NaN	NaN
95475.980000	1.379940	NaN	NaN
